latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
35.10852,-83.84135,296.3,0.44,0.39,2026-03-23,718,N,VIIRS,n,2.0NRT,284.56,0.56,N
36.30007,-82.24228,333.48,0.41,0.37,2026-03-23,718,N,VIIRS,n,2.0NRT,295.12,16.81,N
36.52377,-84.18209,301.47,0.47,0.4,2026-03-23,718,N,VIIRS,n,2.0NRT,287.53,0.92,N
36.52634,-84.18062,303.42,0.47,0.4,2026-03-23,718,N,VIIRS,n,2.0NRT,287.7,0.76,N
36.53307,-82.03922,295.23,0.4,0.37,2026-03-23,718,N,VIIRS,n,2.0NRT,284.43,0.87,N
35.10809,-83.845,335.12,0.39,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,297.21,3.08,D
35.11141,-83.84571,334.65,0.39,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,296.76,3.08,D
35.11428,-83.80674,332.79,0.39,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,294.67,2.05,D
35.11828,-83.80327,335.27,0.39,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,297.34,2.05,D
35.52728,-83.21386,337.12,0.38,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,297.49,16.63,D
35.53386,-83.21544,329.69,0.38,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,289.31,1.28,D
35.55919,-84.12817,331.69,0.39,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,295.3,3.55,D
35.56251,-84.12897,329.78,0.39,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,294.13,3.55,D
35.5634,-84.13291,330.14,0.39,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,294.57,1.54,D
35.56411,-84.12863,329,0.39,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,291.23,1.54,D
35.97731,-83.95442,336.37,0.39,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,300.65,2.21,D
36.10314,-83.6299,346.25,0.39,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,297.97,6.22,D
36.12564,-83.61758,328.81,0.39,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,294.1,1.93,D
36.18139,-82.88689,325.42,0.38,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,295.63,1.57,D
36.29497,-83.98408,325.9,0.39,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,296.01,2.36,D
36.49814,-83.40693,342.18,0.38,0.36,2026-03-23,1838,N,VIIRS,n,2.0NRT,297.17,3.91,D
35.1043,-83.84524,309.34,0.5,0.49,2026-03-24,659,N,VIIRS,n,2.0NRT,276.95,1.61,N
35.10493,-83.84436,315.78,0.5,0.49,2026-03-24,659,N,VIIRS,n,2.0NRT,278.48,2.51,N
35.10926,-83.84924,298.27,0.5,0.49,2026-03-24,659,N,VIIRS,n,2.0NRT,275.47,1.61,N
35.10986,-83.84828,297,0.5,0.49,2026-03-24,659,N,VIIRS,n,2.0NRT,275.02,1.2,N
35.11435,-83.84704,298.84,0.5,0.49,2026-03-24,659,N,VIIRS,n,2.0NRT,276.86,1.2,N
35.10453,-83.84515,338.77,0.56,0.43,2026-03-24,1819,N,VIIRS,n,2.0NRT,295.62,6.44,D
35.10724,-83.85204,337.1,0.56,0.43,2026-03-24,1819,N,VIIRS,n,2.0NRT,293.99,6.06,D
35.11364,-83.84082,333.08,0.56,0.43,2026-03-24,1819,N,VIIRS,n,2.0NRT,291.84,4.67,D
35.11719,-83.8031,329.98,0.56,0.43,2026-03-24,1819,N,VIIRS,n,2.0NRT,292.8,7.73,D
35.17827,-84.26781,330.89,0.39,0.44,2026-03-24,1819,N,VIIRS,n,2.0NRT,299.39,2.91,D
35.1786,-84.26732,326.46,0.39,0.44,2026-03-24,1819,N,VIIRS,n,2.0NRT,297.87,1.79,D
35.23266,-81.92844,334.51,0.46,0.39,2026-03-24,1819,N,VIIRS,n,2.0NRT,287.85,3.1,D
35.55208,-84.14117,356.88,0.57,0.43,2026-03-24,1819,N,VIIRS,n,2.0NRT,293.83,9.83,D
35.55599,-84.14233,347.88,0.57,0.43,2026-03-24,1819,N,VIIRS,n,2.0NRT,293.17,9.83,D
35.55989,-84.1435,343.19,0.57,0.43,2026-03-24,1819,N,VIIRS,n,2.0NRT,292.13,6.32,D
35.60646,-84.11861,346.58,0.56,0.43,2026-03-24,1819,N,VIIRS,n,2.0NRT,298.52,13.46,D
35.97766,-83.95415,325.62,0.54,0.42,2026-03-24,1819,N,VIIRS,l,2.0NRT,300.32,3.9,D
